bus,busstop,onboard,deboarded
bus1,busstop_1,16,15
bus1,busstop_2,5,5
bus1,busstop_3,6,6
bus1,busstop_4,17,9
bus1,busstop_5,18,16
bus1,busstop_6,12,8
bus1,busstop_7,13,3
bus1,busstop_8,7,6
bus1,busstop_9,12,4
bus2,busstop_1,10,8
bus2,busstop_2,16,15
bus2,busstop_3,10,8
bus2,busstop_4,11,8
bus2,busstop_5,8,8
bus2,busstop_6,6,2
bus2,busstop_7,11,6
bus2,busstop_8,17,8
bus2,busstop_9,15,14
bus3,busstop_1,13,1
bus3,busstop_2,12,10
bus3,busstop_3,17,12
bus3,busstop_4,15,12
bus3,busstop_5,9,4
bus3,busstop_6,9,7
bus3,busstop_7,10,2
bus3,busstop_8,16,6
bus3,busstop_9,10,2
bus4,busstop_1,17,12
bus4,busstop_2,17,7
bus4,busstop_3,12,11
bus4,busstop_4,5,3
bus4,busstop_5,5,3
bus4,busstop_6,16,2
bus4,busstop_7,19,3
bus4,busstop_8,5,5
bus4,busstop_9,6,2
bus5,busstop_1,19,11
bus5,busstop_2,16,8
bus5,busstop_3,16,5
bus5,busstop_4,7,1
bus5,busstop_5,13,5
bus5,busstop_6,9,6
bus5,busstop_7,15,6
bus5,busstop_8,5,4
bus5,busstop_9,6,1
