Date,Time,Bus_Stop_Name,Bus_Stop_ID,Route_ID,Passengers_Boarded,Passengers_Left_Behind,Bus_Capacity,Occupancy_Percent,Avg_Waiting_Time_Mins,Traffic_Congestion_Level,Weather,Special_Events_Nearby,Recommended_Buses
2024-10-03,05:00,AMC College,AMC601,365J,15,0,60,25,9,Medium,Clear,0,1
2024-10-03,05:00,Bannerghatta Circle,BGC501,365J,17,0,60,29,10,Medium,Clear,0,1
2024-10-03,05:00,Gottigere,GOT401,365J,16,0,60,27,5,Medium,Clear,0,1
2024-10-03,05:00,Kempegowda Bus Station (Majestic),KBS001,365J,22,0,60,37,6,Medium,Clear,0,1
2024-10-03,05:00,Koli Farm Gate,KFG301,365J,13,0,60,21,6,Medium,Clear,0,1
2024-10-03,05:00,K.R. Circle,KRC201,365J,21,0,60,35,8,Medium,Clear,0,1
2024-10-03,05:00,Maharani College,MHC101,365J,15,0,60,24,6,Medium,Clear,0,1
2024-10-03,06:00,AMC College,AMC601,365J,21,0,60,35,6,Low,Clear,0,1
2024-10-03,06:00,Bannerghatta Circle,BGC501,365J,22,0,60,37,7,Low,Clear,0,1
2024-10-03,06:00,Gottigere,GOT401,365J,26,0,60,43,6,Low,Clear,0,1
2024-10-03,06:00,Kempegowda Bus Station (Majestic),KBS001,365J,32,0,60,53,8,Low,Clear,0,1
2024-10-03,06:00,Koli Farm Gate,KFG301,365J,23,0,60,38,4,Low,Clear,0,1
2024-10-03,06:00,K.R. Circle,KRC201,365J,29,0,60,48,4,Low,Clear,0,1
2024-10-03,06:00,Maharani College,MHC101,365J,22,0,60,37,3,Low,Clear,0,1
2024-10-03,07:00,AMC College,AMC601,365J,36,0,60,60,6,Medium,Clear,0,1
2024-10-03,07:00,Bannerghatta Circle,BGC501,365J,36,0,60,60,7,Medium,Clear,0,1
2024-10-03,07:00,Gottigere,GOT401,365J,31,0,60,51,4,Medium,Clear,0,1
2024-10-03,07:00,Kempegowda Bus Station (Majestic),KBS001,365J,42,0,60,71,4,Medium,Clear,0,1
2024-10-03,07:00,Koli Farm Gate,KFG301,365J,36,0,60,60,5,Medium,Clear,0,1
2024-10-03,07:00,K.R. Circle,KRC201,365J,50,0,60,42,8,Medium,Clear,0,2
2024-10-03,07:00,Maharani College,MHC101,365J,35,0,60,59,8,Medium,Clear,0,1
2024-10-03,08:00,AMC College,AMC601,365J,34,0,60,57,8,High,Clear,0,1
2024-10-03,08:00,Bannerghatta Circle,BGC501,365J,37,0,60,62,12,High,Clear,0,1
2024-10-03,08:00,Gottigere,GOT401,365J,38,0,60,64,12,High,Clear,0,1
2024-10-03,08:00,Kempegowda Bus Station (Majestic),KBS001,365J,55,0,60,46,10,High,Clear,0,2
2024-10-03,08:00,Koli Farm Gate,KFG301,365J,38,0,60,64,8,High,Clear,0,1
2024-10-03,08:00,K.R. Circle,KRC201,365J,48,0,60,40,12,High,Clear,0,2
2024-10-03,08:00,Maharani College,MHC101,365J,47,0,60,39,12,High,Clear,0,2
2024-10-03,09:00,AMC College,AMC601,365J,39,0,60,65,14,High,Clear,0,1
2024-10-03,09:00,Bannerghatta Circle,BGC501,365J,35,0,60,59,14,High,Clear,0,1
2024-10-03,09:00,Gottigere,GOT401,365J,24,0,60,40,12,High,Clear,0,1
2024-10-03,09:00,Kempegowda Bus Station (Majestic),KBS001,365J,39,0,60,64,13,High,Clear,0,1
2024-10-03,09:00,Koli Farm Gate,KFG301,365J,36,0,60,60,11,High,Clear,0,1
2024-10-03,09:00,K.R. Circle,KRC201,365J,41,0,60,68,13,High,Clear,0,1
2024-10-03,09:00,Maharani College,MHC101,365J,34,0,60,57,11,High,Clear,0,1
2024-10-03,10:00,AMC College,AMC601,365J,24,0,60,41,3,Low,Clear,0,1
2024-10-03,10:00,Bannerghatta Circle,BGC501,365J,36,0,60,61,4,Low,Clear,0,1
2024-10-03,10:00,Gottigere,GOT401,365J,24,0,60,40,2,Low,Clear,0,1
2024-10-03,10:00,Kempegowda Bus Station (Majestic),KBS001,365J,25,0,60,42,2,Low,Clear,0,1
2024-10-03,10:00,Koli Farm Gate,KFG301,365J,24,0,60,40,4,Low,Clear,0,1
2024-10-03,10:00,K.R. Circle,KRC201,365J,29,0,60,49,2,Low,Clear,0,1
2024-10-03,10:00,Maharani College,MHC101,365J,27,0,60,45,5,Low,Clear,0,1
2024-10-03,11:00,AMC College,AMC601,365J,17,0,60,28,6,Low,Clear,0,1
2024-10-03,11:00,Bannerghatta Circle,BGC501,365J,17,0,60,29,4,Low,Clear,0,1
